Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
Wonder,113 min,7.9,66,Drama,$132.38M,"1,335,727"
The Departed,151 min,8.5,85,Crime,$132.18M,"270,876"
Hulk,138 min,5.6,54,Action,$132.09M,"715,463"
Silver Linings Playbook,122 min,7.7,81,Comedy,$132.07M,"558,731"
Minority Report,145 min,7.6,80,Action,$131.92M,"268,857"
Fantastic Four: Rise of the Silver Surfer,92 min,5.6,45,Action,$131.56M,"165,841"
The Last Airbender,103 min,4,20,Action,$131.54M,"93,127"
Rio 2,101 min,6.3,49,Animation,$131.14M,"211,994"
Lara Croft: Tomb Raider,100 min,5.7,33,Action,$130.32M,"220,877"
Get Smart,110 min,6.5,54,Action,$130.18M,"242,021"
The Divergent Series: Insurgent,119 min,6.2,42,Action,$130.18M,"47,143"
The Peanuts Movie,88 min,7,67,Animation,$130.17M,"155,316"
Transformers: The Last Knight,154 min,5.2,27,Action,$130.16M,"431,487"
American Gangster,157 min,7.8,76,Biography,$129.13M,"355,376"
The Ring,115 min,7.1,57,Horror,$128.51M,"416,498"
Borat,84 min,7.3,89,Comedy,$128.34M,"234,785"
Ghostbusters,117 min,6.8,60,Action,$128.26M,"675,435"
Kingsman: The Secret Service,129 min,7.7,60,Action,$128.20M,"151,114"
Robots,91 min,6.4,64,Animation,$128.08M,"272,201"
